word,N,N1
ivonnemelgar,"[['ivonnecisnerosl', 0], ['ivonnemelgar', 0], ['narcogobierno', 0.00022357890905422284], ['dádivas', 0.0003708112695023358], ['ridiculez', 0.0004273479904054467]]","[['ivonnecisnerosl', 0], ['ivonnemelgar', 0], ['narcogobierno', 0.00022357890905422284], ['dádivas', 0.0003708112695024468], ['ridiculez', 0.0004273479904054467]]"
jajajaa,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajaj,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajaa,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajaj,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajaj,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajaj,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajajajajajajajajajaja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajajja,"[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]","[['jajaja', 0], ['jajajaa', 0], ['jajajaj', 0], ['jajajaja', 0], ['jajajajaa', 0]]"
jajajja,"[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]","[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]"
jajajjaa,"[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]","[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]"
jajajjaja,"[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]","[['jajaj', 0], ['jajajja', 0], ['jajajjaa', 0], ['jajajjaja', 0], ['jajajjajaja', 0]]"
