Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Susana Prieto Terrazas,Diputada,@terrazas_prieto,Chihuahua,21-08-29,,,,,M,55,
Karla María Rabelo Estrada,Diputada,@KARLARABELO,Tabasco,21-08-29,,,,,M,38,
Julieta Andrea Ramírez Padilla,Diputada,@JulietaRamirezP,Baja California,21-08-29,,,,,M,27,
Brenda Ramiro Alejo,Diputada,@BrendaRamiroMX,Ciudad de México,21-08-29,,,,,M,32,
Adela Ramos Juárez,Diputada,@AdelaRamosJ,Chiapas,21-08-29,,,,,M,55,
Emmanuel Reyes Carmona,Diputado,@EmmanuelReyesC,Guanajuato,18-08-29,,,,,H,35,
Valentín Reyes Lopez,Diputado,@DiputadoReyes,Veracruz,18-08-29,,,,,H,70,
María del Rosario Reyes Silva,Diputada,@Rosario_Reyes_S,Guerrero,21-08-29,,,,,M,40,
Sonia Rincón Chanona,Diputada,@soniarincon_ch,Chiapas,18-08-29,,,,,M,69,
Bernardo Ríos Cheno,Diputado,@DipBernardoRios,Sonora,21-08-29,,,,,H,46,
Klaus Uwe Ritter Ocampo,Diputado,@KlausRitter,Morelos,21-08-29,,,,,H,30,
Juan Ramiro Robledo Ruiz,Diputado,@jramirorobledo,San Luis Potosí,21-08-29,,,,,H,73,
Manuel Alejandro Robles Gómez,Diputado,@roblesgomezalej,Ciudad de México,21-08-29,,,,,H,39,
Martha Robles Ortíz,Diputada,@DipMartha,Estado de México,18-08-29,,,,,M,60,
Manuel Rodríguez González,Diputado,@manuel_rdgn,Tabasco,18-08-29,,,,,H,55,
Ángel Miguel Rodríguez Torres,Diputado,,Estado de México,21-08-29,,,,,H,35,
Beatriz Rojas Martínez,Diputada,@BetyRojas06,Ciudad de México,18-08-29,,,,,M,55,
María Guadalupe Román Ávila,Diputada,@GpeRomanAvila,Estado de México,18-08-29,,,,,M,49,
Noemí Salazar López,Diputada,@NoemiSalazarLXV,Estado de México,21-08-29,,,,,M,36,
Carlos Sánchez Barrios,Diputado,@SanchezBarriosC,Guerrero,18-08-29,,,,,H,65,
Graciela Sánchez Ortiz,Diputada,@DipGracielaSO,Estado de México,18-08-29,,,,,M,63,
Juan Pablo Sánchez Rodríguez,Diputado,@JuanPabloSanchR,Estado de México,18-08-29,,,,,H,43,
Pablo Amílcar Sandoval Ballesteros,Diputado,@SanAmilcar,Guerrero,21-08-29,,,,,H,48,
Martín Sandoval Soto,Diputado,@MartinSandovalS,Hidalgo,21-08-29,,,,,H,52,
Azael Santiago Chepi,Diputado,@Chepi_Org,Oaxaca,18-08-29,,,,,H,44,
Iran Santiago Manuel,Diputado,@IranSantiagoM,Oaxaca,18-08-29,,,,,H,37,
Nancy Yadira Santiago Marcos,Diputada,@YadiraMarcosSin,Sinaloa,18-08-29,,,,,M,42,
Elena Edith Segura Trejo,Diputada,@ElenaSegura_,Ciudad de México,21-08-29,,,,,M,59,
Jorge Ángel Sibaja Mendoza,Diputado,@JorgeAngelSibaj,Oaxaca,18-08-29,,,,,H,39,Cuenta análoga oficial eliminada
María Sierra Damián,Diputada,,Campeche,21-08-29,,,,,M,74,
Dulce María Silva Hernández,Diputada,@DulceM_SilvaH,Tlaxcala,21-08-29,,,,,M,42,
Judith Celina Tanori Córdova,Diputada,@judith_tanori,Sonora,21-08-29,,,,,M,58,
Claudia Tello Espinosa,Diputada,@Dip_ClauTello,Veracruz,18-08-29,,,,,M,57,
Paola Tenorio Adame,Diputada,@PaolaTenorioA,Veracruz,18-08-29,,,,,M,56,
Mario Alberto Torres Escudero,Diputado,@___mariotorres,Veracruz,21-08-29,,,,,H,43,
Juan Guadalupe Torres Navarro,Diputado,,Sinaloa,21-08-29,,,,,H,44,
Miguel Torruco Garza,Diputado,@MiguelTorrucoG,Ciudad de México,21-08-29,,,,,H,34,
Rosalba Valencia Cruz,Diputada,@RosalbaVCruz,Veracruz,18-09-29,,,,,M,57,
Alma Griselda Valencia Medina,Diputada,,Michoacán,21-08-29,,,,,M,60,
Roberto Valenzuela Corral,Diputado,@RobertoValMX,Aguascalientes,21-08-29,,,,,H,49,
Víctor Gabriel Varela López,Diputado,,Ciudad de México,18-09-1,,,,,H,49,
Teresita de Jesús Vargas Meraz,Diputada,@Maite_VargasM,Chihuahua,18-09-1,,,,,M,32,
Brianda Aurora Vázquez Álvarez,Diputada,@auroravazquez,Sonora,21-08-29,,,,,M,32,
Manuel Vazquez Arellano,Diputado,@Omarel44,Veracruz,21-08-29,,,,,H,34,
Alfredo Vázquez Vázquez,Diputado,,Chiapas,18-09-29,,,,,H,41,
Julieta Kristal Vences Valencia,Diputada,@Julieta_Kristal,Puebla,18-09-1,,,,,M,35,
Faustino Vidal Benavides,Diputado,,Veracruz,21-08-29,,,,,H,63,
Alberto Villa Villegas,Diputado,@BetoVillaMx,Jalisco,18-8-01,,,,,H,49,
María Corina Villegas Guarneros Dulce,Diputada,@corinavillegasg,Veracruz,18-8-01,,,,,M,55,
Merary Villegas Sanchez,Diputada,@MeraryVillegas,Sinaloa,18-8-01,,,,,M,35,
Casimiro Zamora Valdez,Diputado,@CasimiroZamoraV,Sinaloa,18-8-01,,,,,H,63,
Joaquín  Zebadúa Alva,Diputado,@JoaquinZA2012,Chiapas,21-8-29,,,,,H,47,
María del Carmen Zúñiga Cuevas,Diputada,@ZCarmen1966,Colima,21-11-04,,,,,M,56,
Rosa María Bayardo Cabrera,Ex-diputada,@BayardoRosi,Colima,18-12-04,21/11/01,,,,M,36,
