Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Rosangela Amairany Peña Escalante,Diputada,@amairanipe25,Sonora,21-08-29,,,,,M,29,
Pedro Sergio Peñaloza Pérez,Diputado,@MxicoNegro,Guerrero,21-08-29,,,,,H,69,
Lidia Pérez Barcenas,Diputada,@Lidiapbarcenas,Ciudad de México,21-08-29,,,,,M,41,
Jaime Humberto Pérez Bernabe,Diputado,@JaimeHumbertoPB,Veracruz,18-08-29,,,,,H,49,
Marco Antonio Pérez Garibay,Diputado,@AntonioPerezMEX,Jalisco,21-08-29,,,,,H,63,Cuenta análoga oficial eliminada
Blanca Carolina Pérez Gutiérrez,Diputada,,Chiapas,21-08-29,,,,,M,34,
Carlos Augusto Pérez Hernández,Diputado,@Auguscarlos40,Tlaxcala,21-08-29,,,,,H,45,
Beatriz Dominga Pérez López,Diputada,@BettyPerez2015,Oaxaca,21-08-29,,,,,M,47,
Miguel Ángel Pérez Navarrete,Diputado,,Hidalgo,21-08-29,,,,,H,54,
Laura Imelda Pérez Segura,Diputada,@LauraImelPerezS,Jalisco,18-08-29,,,,,M,42,
Yeidckol Polevnsky Gurwitz,Diputada,@yeidckol,Estado de México,21-08-29,,,,,M,64,
Alfredo Porras Domínguez,Diputado,@alfredoporras17,Baja California Sur,18-08-29,,,,,H,65,
Miguel Prado de los Santos,Diputado,@MiguelPradod,Estado de México,18-08-29,,,,,H,38,
Susana Prieto Terrazas,Diputada,@terrazas_prieto,Chihuahua,21-08-29,,,,,M,55,
Karla María Rabelo Estrada,Diputada,@KARLARABELO,Tabasco,21-08-29,,,,,M,38,
Julieta Andrea Ramírez Padilla,Diputada,@JulietaRamirezP,Baja California,21-08-29,,,,,M,27,
Brenda Ramiro Alejo,Diputada,@BrendaRamiroMX,Ciudad de México,21-08-29,,,,,M,32,
Adela Ramos Juárez,Diputada,@AdelaRamosJ,Chiapas,21-08-29,,,,,M,55,
